Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
4769,Castalia           ,510000,JPL#19  ,8/22/2023,0.11,18.2
6037,1988 EG            ,900000,JPL#21  ,8/23/2023,0.0407,14.25
,1998 HH49          ,3600,JPL#04  ,10/16/2023,0.0025,14.78
,1986 JK            ,85000,JPL#18  ,06-02-2024,0.0766,14
,1998 ST27          ,1300,JPL#16  ,10-12-2024,0.019,16.6
,1989 UQ            ,200000,JPL#03  ,10/15/2024,0.1559,6.05
,1996 FG3           ,1100000,JPL#05  ,11/25/2024,0.18,6.12
,1998 HE3           ,870,JPL#04  ,02-03-2025,0.1225,16.16
6239,Minos              ,210000,JPL#08  ,02-05-2025,0.0991,10.18
,1999 CF9           ,180000,JPL#41  ,03-08-2025,0.0502,18.63
,1999 GS6           ,31000,JPL#07  ,3/26/2025,0.1048,11.26
4034,1986 PA            ,310000,JPL#07  ,04-01-2025,0.1568,11.98
,1999 SO5           ,760,JPL#14  ,04-03-2025,0.0387,7.56
,1996 JG            ,920000,JPL#11  ,06-05-2025,0.1681,15.16
,1997 XR2           ,2500,JPL#02  ,06-10-2025,0.0652,5.18
,1991 VH            ,200000,JPL#02  ,08-02-2025,0.0781,8.67
,1997 QK1           ,130000,JPL#03  ,8/21/2025,0.0199,9.85
3361,Orpheus            ,300000,JPL#04  ,11/19/2025,0.0379,9.08
2340,Hathor             ,370000,JPL#10  ,1/17/2026,0.1044,13.91
,1998 HE3           ,8700,JPL#04  ,05-10-2026,0.0698,10.79
,1997 NC1           ,33000,JPL#01  ,6/27/2026,0.017,8.89
1620,Geographos         ,1400000,JPL#65  ,08-12-2026,0.1704,8.36
,1999 FA            ,430000,JPL#27  ,9/14/2026,0.1206,6.53
,1998 WT24          ,17000,JPL#11  ,12/24/2026,0.0842,12.31
5693,1993 EA            ,40000,JPL#09  ,12/30/2026,0.0531,17.22
,1999 JT6           ,41000,JPL#26  ,2/20/2027,0.1563,10.74
,1999 FA            ,15000,JPL#27  ,03-03-2027,0.0412,6.53
4769,Castalia           ,380000,JPL#19  ,04-04-2027,0.1288,13.76
,1991 JW            ,240000,JPL#07  ,5/19/2027,0.0999,4.95
4953,1990 MU            ,100000,JPL#14  ,06-06-2027,0.0308,23.82
,1998 CS1           ,34000,JPL#06  ,7/19/2027,0.0643,15.88
,1990 OS            ,25000,JPL#07  ,7/28/2027,0.1334,14.17
,1999 AN10          ,1300,JPL#41  ,08-07-2027,0.0026,26.28
,1998 ST27          ,610,JPL#16  ,10-09-2027,0.1455,21.2
5011,Ptah               ,100000,JPL#08  ,11-03-2027,0.1911,17.44
,1998 DV9           ,64000,JPL#11  ,2/17/2028,0.063,8.14
11500,1989 UR            ,420000,JPL#18  ,06-11-2028,0.0888,12.37
,1998 HL3           ,4900,JPL#04  ,6/26/2028,0.1449,6.83
,1998 ML14          ,700000,JPL#53  ,7/22/2028,0.1568,16.91
9856,1991 EE            ,460000,JPL#20  ,09-10-2028,0.0967,17.97
,1997 XF11          ,210,JPL#21  ,10/26/2028,0.0062,13.91
,1991 JW            ,91000,JPL#07  ,11/30/2028,0.1345,8.83
7753,1988 XB            ,290000,JPL#06  ,07-09-2029,0.1148,10.29
3361,Orpheus            ,270000,JPL#04  ,11/14/2029,0.0842,10.92
,1998 WT24          ,7100,JPL#11  ,11/27/2029,0.0468,8.48
5011,Ptah               ,260000,JPL#08  ,02-11-2030,0.1741,9.69
,1998 HE3           ,1000,JPL#04  ,2/15/2030,0.1926,9.29
,1997 NC1           ,38000,JPL#01  ,6/23/2030,0.1288,10.7
,1996 RG3           ,130000,JPL#02  ,11-02-2030,0.058,13.17
,1998 SS49          ,260000,JPL#26  ,11/22/2030,0.1206,20.75
,1998 BB10          ,26000,JPL#04  ,01-03-2031,0.1086,9.91
4660,Nereus             ,6400,JPL#09  ,03-02-2031,0.1149,9.77
,1999 FN53          ,2700000,JPL#36  ,5/18/2031,0.0842,13.69
6239,Minos              ,340000,JPL#08  ,08-09-2031,0.1294,9.2
,1989 UQ            ,190000,JPL#03  ,10-12-2031,0.1588,6.11
5693,1993 EA            ,270000,JPL#09  ,06-03-2032,0.0914,16.44
4450,Pan                ,140000,JPL#03  ,09-03-2032,0.0629,19.75
,1999 GS6           ,11000,JPL#07  ,9/13/2032,0.0816,12.03
1981,Midas              ,160000,JPL#15  ,9/14/2032,0.0863,26.42
,1999 GK4           ,42000,JPL#30  ,9/22/2032,0.186,13.79
2340,Hathor             ,390000,JPL#10  ,1/13/2033,0.1997,18.51
,1998 HD14          ,120000,JPL#05  ,04-05-2033,0.0641,8.23
,1999 BJ8           ,820000,JPL#22  ,4/19/2033,0.1804,11.04
8566,1996 EN            ,140000,JPL#06  ,09-08-2033,0.0303,23.36
3361,Orpheus            ,260000,JPL#04  ,11-10-2033,0.1659,13.5
,1998 WZ1           ,340000,JPL#16  ,12/15/2033,0.0943,11.67
,1999 JU3           ,630,JPL#19  ,12/20/2033,0.046,4.08
,1991 AQ            ,640000,JPL#04  ,1/21/2034,0.0842,27.12
4450,Pan                ,78000,JPL#03  ,2/15/2034,0.0649,20.23
5604,1992 FE            ,60000,JPL#06  ,2/28/2034,0.1304,15.9
,1999 SO5           ,53,JPL#14  ,4/14/2034,0.1785,8.79
,1999 KW4           ,110000,JPL#42  ,06-02-2034,0.1957,19.87
,1999 AN10          ,20000,JPL#41  ,7/30/2034,0.1759,23.1
,1997 BR            ,430000,JPL#05  ,08-02-2034,0.1698,14.97
2061,Anza               ,180000,JPL#01  ,9/27/2035,0.0537,6.66
2101,Adonis             ,120000,JPL#12  ,02-07-2036,0.0357,23.77
5604,1992 FE            ,93000,JPL#06  ,6/22/2036,0.0664,10.96
4486,Mithra             ,100000,JPL#07  ,7/26/2036,0.1556,13.45
7753,1988 XB            ,110000,JPL#06  ,11/20/2036,0.0839,11
5693,1993 EA            ,250000,JPL#09  ,01-04-2037,0.0817,21.25
,1999 RQ36          ,610000,JPL#31  ,02-11-2037,0.0983,7.53
4034,1986 PA            ,330000,JPL#07  ,3/28/2037,0.1796,11.15
11500,1989 UR            ,330000,JPL#18  ,5/30/2037,0.1323,9.37
,1991 AQ            ,64000,JPL#04  ,8/19/2037,0.0837,27.14
2340,Hathor             ,120000,JPL#10  ,10/23/2038,0.1136,16.74
